USB_JTAG 仿真器调试板 BOM,,,,,,,,
序号,物料名称,型号规格,参数（值）,封装/材质,版本号/图号,位号,单板数量（整套）,单位
板卡板号： XCY101_USB_JTAG_V1.0,,,,,,,,
1,电阻,"R0603,0R,25%",,,,B3 B4 B5,3,个
2,USB连接器,12401598E4-2A,,,,J6,1,个
3,集成电路,"93LC56B,93LC56B",,,,U45,1,个
4,电容,"CAP,10uF DNP",,,,C1672,1,个
5,电容,"CAP0402,0.01uF",,,,C10,1,个
6,电容,"CAP0402,0.1uF",,,,C1 C3 C5 C7 C143 C144 C145 C146 C147 C148 C149 C151 C153 C154 C156 C158,16,个
7,电容,"CAP0402,100pF",,,,C6 C8,2,个
8,电容,"CAP0402,10uF",,,,C2 C4 C157 C159 C12 C9 C11 C109 C110,9,个
11,电容,"CAP0402,27PF",,,,C152 C155,2,个
12,晶振,"FA238,12.00MHZ,20PPM",,,,X2,1,个
13,集成电路,FT2232HL ,,,,U26,1,个
14,集成电路,FXL4TD245BQX,,,,U43 U128,2,个
15,螺钉孔,"HOLE4_5-2_7MM,DNP",,,,MH1 MH2 MH3 MH4,4,个
16,JTAG插座,JTAG_10P,,,,JT1,1,个
17,LED灯,LED_0402 ,,,,DS33 DS49 DS9,2,个
19,集成电路,MAX8902BATA+,,,,U30,1,个
20,集成电路,RCLAMP0524P,,,,U111,1,个
21,电阻,"RES0402,0R",,,,R3 R4 R1265 R1269 R1272 R1274,6,个
23,电阻,"RES0402,100R",,,,R22 R136,2,个
24,电阻,"RES0402,10K",,,,R91 R92 R93,3,个
25,电阻,"RES0402,12k",,,,R89,1,个
26,电阻,"RES0402,18.2K",,,,R2,1,个
27,电阻,"RES0402,1K",,,,R86,1,个
28,电阻,"RES0402,2K",,,,R95,1,个
29,电阻,"RES0402,33R",,,,R27 R31,2,个
30,电阻,"RES0402,4.02K",,,,R5,1,个
31,电阻,"RES0402,4.7K",,,,R90 R98 R99 R100 R1,5,个
33,电阻,"RES0402,5.11K",,,,R1257 R1258,2,个
34,集成电路,"TDA02H0SB1,DNP",,,,U1,1,个
35,集成电路,TPD4S012,,,,U143,1,个
,,,,,,,,
,,,,,,,,
